Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm)
Q1,Pmos_SOP8,TopLayer,SOP8_L,3.9878mm,60.3650mm,270,Pmos_SOP8,3.9878mm,60.3650mm,5.8928mm,62.8650mm
E13,220uF/10V,TopLayer,CS_6*4_-_B,8.3820mm,16.5862mm,270,贴片电解电容,8.3820mm,16.5862mm,8.3820mm,13.5862mm
E12,220uF/10V,TopLayer,CS_6*4_-_B,8.3820mm,34.4932mm,270,贴片电解电容,8.3820mm,34.4932mm,8.3820mm,31.4932mm
E11,220uF/10V,TopLayer,CS_6*4_-_B,20.8280mm,62.7376mm,0,贴片电解电容,20.8280mm,62.7376mm,23.8280mm,62.7376mm
E10,220uF/10V,TopLayer,CS_6*4_-_B,8.3820mm,52.0192mm,270,贴片电解电容,8.3820mm,52.0192mm,8.3820mm,49.0192mm
E9,220uF/10V,TopLayer,CS_6*4_-_B,20.8280mm,72.0848mm,0,贴片电解电容,20.8280mm,72.0848mm,23.8280mm,72.0848mm
U16,TPS54202DDCR,TopLayer,SOT23-6L,3.0632mm,10.1092mm,180,DCDC Convert,3.0632mm,10.1092mm,4.0132mm,11.5062mm
U15,TPS54202DDCR,TopLayer,SOT23-6L,3.0632mm,28.0162mm,180,DCDC Convert,3.0632mm,28.0162mm,4.0132mm,29.4132mm
U14,TPS54202DDCR,TopLayer,SOT23-6L,32.2174mm,61.3918mm,0,DCDC Convert,32.2174mm,61.3918mm,31.2674mm,59.9948mm
L8,10uH,TopLayer,SMMS0420,8.0973mm,9.8552mm,180,小功率贴片电感,8.0973mm,9.8552mm,5.8193mm,9.8552mm
L7,10uH,TopLayer,SMMS0420,8.0692mm,27.7622mm,180,小功率贴片电感,8.0692mm,27.7622mm,5.7912mm,27.7622mm
C144,22uF 10V,TopLayer,C0603_L,12.1920mm,8.9800mm,270,无极性贴片电容,12.1920mm,8.9800mm,12.1920mm,9.7050mm
C143,68PF 50V,TopLayer,C0402_L,4.0132mm,7.0713mm,270,无极性贴片电容,4.0132mm,7.0712mm,4.0132mm,7.5213mm
C142,100nF 50V,TopLayer,C0402_L,2.3114mm,12.7254mm,180,无极性贴片电容,2.3114mm,12.7254mm,2.7614mm,12.7254mm
C141,22uF 25V,TopLayer,C0805_L,3.1619mm,14.2748mm,180,无极性贴片电容,3.1618mm,14.2747mm,4.1119mm,14.2748mm
C140,100nF 50V,TopLayer,C0402_L,5.0800mm,7.0713mm,270,无极性贴片电容,5.0800mm,7.0712mm,5.0800mm,7.5213mm
C139,100nF 50V,TopLayer,C0402_L,11.0490mm,7.7216mm,270,无极性贴片电容,11.0490mm,7.7216mm,11.0490mm,8.1716mm
C137,22uF 10V,TopLayer,C0603_L,12.1920mm,26.8870mm,270,无极性贴片电容,12.1920mm,26.8870mm,12.1920mm,27.6120mm
C135,22uF 10V,TopLayer,C0603_L,25.0444mm,64.7584mm,90,无极性贴片电容,25.0444mm,64.7584mm,25.0444mm,64.0334mm
C134,68PF 50V,TopLayer,C0402_L,4.0132mm,24.9783mm,270,无极性贴片电容,4.0132mm,24.9782mm,4.0132mm,25.4283mm
C133,56PF 50V,TopLayer,C0402_L,32.1056mm,64.5342mm,90,无极性贴片电容,32.1056mm,64.5342mm,32.1056mm,64.0842mm
C132,100nF 50V,TopLayer,C0402_L,2.3114mm,30.6324mm,180,无极性贴片电容,2.3114mm,30.6324mm,2.7614mm,30.6324mm
C131,22uF 25V,TopLayer,C0805_L,3.1619mm,32.1818mm,180,无极性贴片电容,3.1618mm,32.1817mm,4.1119mm,32.1818mm
C130,100nF 50V,TopLayer,C0402_L,34.4678mm,60.2488mm,270,无极性贴片电容,34.4678mm,60.2488mm,34.4678mm,60.6988mm
C129,22uF 25V,TopLayer,C0805_L,36.0426mm,61.0972mm,270,无极性贴片电容,36.0427mm,61.0971mm,36.0426mm,62.0472mm
C128,100nF 50V,TopLayer,C0402_L,5.0800mm,24.9783mm,270,无极性贴片电容,5.0800mm,24.9782mm,5.0800mm,25.4283mm
U13,P25Q21H,TopLayer,SOP8_L,39.3700mm,66.1670mm,45,,39.3700mm,66.1670mm,36.2552mm,65.7463mm
R8,10K 1%,TopLayer,R0402_L,39.8018mm,62.0268mm,225,贴片电阻,39.8018mm,62.0268mm,40.1023mm,62.3273mm
MR4,MARK1.6,TopLayer,Mark_1,2.1844mm,73.5584mm,0,光学定位点,2.1844mm,73.5584mm,2.1844mm,73.5584mm
MR3,MARK1.6,BottomLayer,Mark_1,5.3086mm,67.7926mm,180,光学定位点,5.3086mm,67.7926mm,5.3086mm,67.7926mm
MR2,MARK1.6,TopLayer,Mark_1,87.6808mm,6.5024mm,0,光学定位点,87.6808mm,6.5024mm,87.6808mm,6.5024mm
MR1,MARK1.6,BottomLayer,Mark_1,83.2358mm,6.3500mm,180,光学定位点,83.2358mm,6.3500mm,83.2358mm,6.3500mm
C127,1nF 25V,TopLayer,C0402_L,7.2390mm,61.0108mm,270,无极性贴片电容,7.2390mm,61.0108mm,7.2390mm,61.4608mm
E8,47uF/16V,TopLayer,CS_6*4_-_R,18.0191mm,9.5504mm,90,贴片电解电容,18.0191mm,9.5504mm,18.0191mm,12.5504mm
E7,47uF/16V,TopLayer,CS_6*4_-_R,26.3045mm,9.5504mm,90,贴片电解电容,26.3045mm,9.5504mm,26.3045mm,12.5504mm
E6,47uF/16V,TopLayer,CS_6*4_-_R,34.5898mm,9.5504mm,90,贴片电解电容,34.5898mm,9.5504mm,34.5898mm,12.5504mm
E5,47uF/16V,TopLayer,CS_6*4_-_R,42.8752mm,9.5504mm,90,贴片电解电容,42.8752mm,9.5504mm,42.8752mm,12.5504mm
E4,47uF/16V,TopLayer,CS_6*4_-_R,26.3045mm,36.4661mm,90,贴片电解电容,26.3045mm,36.4661mm,26.3045mm,39.4661mm
E3,47uF/16V,TopLayer,CS_6*4_-_R,18.0191mm,36.4661mm,90,贴片电解电容,18.0191mm,36.4661mm,18.0191mm,39.4661mm
E2,47uF/16V,TopLayer,CS_6*4_-_R,42.8752mm,36.4661mm,90,贴片电解电容,42.8752mm,36.4661mm,42.8752mm,39.4661mm
E1,47uF/16V,TopLayer,CS_6*4_-_R,34.5898mm,36.4661mm,90,贴片电解电容,34.5898mm,36.4661mm,34.5898mm,39.4661mm
U1,TPS54202DDCR,TopLayer,SOT23-6L,32.2174mm,70.7390mm,0,DCDC Convert,32.2174mm,70.7390mm,31.2674mm,69.3420mm
J5,USB3.1_Type-A,TopLayer,USB3.1_Type-A_立式直插,72.0344mm,69.9262mm,0,USB接口,72.0344mm,69.9262mm,68.5343mm,69.1769mm
Y4,25Mhz,TopLayer,OSC_3225-4P,40.6400mm,72.8726mm,270,,40.6400mm,72.8726mm,39.7900mm,73.9226mm
Y3,30Mhz,BottomLayer,OSC_3225-4P,87.1338mm,46.8970mm,270,,87.1338mm,46.8970mm,87.9838mm,47.9470mm
Y2,30Mhz,BottomLayer,OSC_3225-4P,87.1338mm,27.5930mm,270,,87.1338mm,27.5930mm,87.9838mm,28.6430mm
Y1,30Mhz,BottomLayer,OSC_3225-4P,87.1338mm,8.5176mm,270,,87.1338mm,8.5176mm,87.9838mm,9.5676mm
U12,TPD4E02B04,BottomLayer,DIO_TPD4E02B04DQAR,80.8482mm,72.9488mm,180,ESD,80.8482mm,72.9488mm,81.2657mm,73.9488mm
U11,TPD4E02B04,BottomLayer,DIO_TPD4E02B04DQAR,80.8482mm,65.6082mm,180,ESD,80.8482mm,65.6082mm,81.2657mm,66.6082mm
